"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3"
0,0000;-60,3720;-120,4000
0,0000;-60,3720;-120,4000
0,0000;-60,3540;-120,4000
0,0000;-60,5440;-120,4000
0,0000;-60,5440;-120,4000
0,0000;-60,5440;-120,4000
0,0000;-60,5440;-120,4000
0,0000;-60,5440;-120,3850
0,0000;-60,5440;-120,5720
0,0000;-60,5260;-120,5720
0,0000;-60,7160;-120,5720
0,0000;-60,7160;-120,5720
0,0000;-60,7160;-120,5720
0,0000;-60,7160;-120,5720
0,0000;-60,7160;-120,5720
0,0210;-60,7160;-120,5720
-0,1720;-60,6980;-120,5570
-0,1720;-60,8880;-120,7440
-0,1720;-60,8880;-120,7440
-0,1720;-60,8880;-120,7440
-0,1720;-60,8880;-120,7440
-0,1720;-60,8880;-120,7440
-0,1720;-60,8880;-120,7440
-0,1720;-60,8880;-120,7440
-0,1720;-60,8880;-120,7440
-0,1720;-60,8880;-120,7440
-0,1720;-60,8701;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0779;-120,7440
-0,1720;-60,8880;-120,7440
-0,1720;-60,8880;-120,7440
-0,1720;-60,8880;-120,7440
-0,1930;-60,8880;-120,7440
0,0210;-60,8880;-120,7440
-0,1930;-60,8880;-120,7440
0,0000;-60,8880;-120,7440
0,0000;-60,8880;-120,7590
0,0000;-60,9059;-120,5720
0,0000;-60,7160;-120,5720
0,0000;-60,7160;-120,5720
0,0000;-60,7160;-120,5720
0,0000;-60,7160;-120,5720
0,0000;-60,7160;-120,5720
0,0000;-60,7160;-120,5720
0,0000;-60,7340;-120,5720
0,0000;-60,5440;-120,5720
0,0000;-60,5440;-120,5870
0,0000;-60,5440;-120,4000
0,0000;-60,5440;-120,4000
0,0000;-60,5440;-120,4000
0,0000;-60,5440;-120,4000
0,0000;-60,5620;-120,4000
0,0000;-60,3720;-120,4000
0,0000;-60,3720;-120,4000
0,0000;-60,3720;-120,4150
0,0000;-60,3720;-120,2280
0,0000;-60,3720;-120,2280
0,0000;-60,3720;-120,2280
0,0000;-60,3720;-120,2280
0,0000;-60,3720;-120,2280
0,0000;-60,3720;-120,2280
0,0000;-60,3720;-120,2280
0,0000;-60,3900;-120,2280
0,0000;-60,2000;-120,2280
0,0000;-60,2000;-120,2280
0,0000;-60,2000;-120,2280
0,0000;-60,2000;-120,2280
0,0000;-60,2000;-120,2280
0,0000;-60,2000;-120,2280
0,0000;-60,2000;-120,2280
0,0000;-60,2000;-120,2280
0,0000;-60,2000;-120,2430
0,0000;-60,2000;-120,0560
0,0000;-60,1820;-120,0560
0,0000;-60,3720;-120,0560
0,0000;-60,3720;-120,0560
0,0000;-60,3720;-120,0560
0,0000;-60,3720;-120,0560
0,0000;-60,3720;-120,0560
0,0000;-60,3720;-120,0410
0,0000;-60,3720;-120,2280
0,0000;-60,3720;-120,2280
0,0000;-60,3720;-120,2280
0,0000;-60,3720;-120,2280
0,0000;-60,3540;-120,2280
0,0000;-60,5440;-120,2280
0,0210;-60,5440;-120,2280
-0,1720;-60,5440;-120,2280
-0,1930;-60,5440;-120,2280
0,0210;-60,5440;-120,2280
-0,1720;-60,5440;-120,2280
-0,1720;-60,5260;-120,2280
-0,1720;-60,7160;-120,2280
-0,1720;-60,7160;-120,2130
-0,1720;-60,7160;-120,4000
-0,1720;-60,7160;-120,4000
-0,1720;-60,7160;-120,4000
-0,1720;-60,7160;-120,4000
-0,1720;-60,7160;-120,4000
-0,1720;-60,6980;-120,4000
-0,1720;-60,8880;-120,4000
-0,1720;-60,8880;-120,4000
-0,1720;-60,8880;-120,4000
-0,1720;-60,8880;-120,3850
-0,1720;-60,8880;-120,5720
-0,1720;-60,8880;-120,5720
-0,1720;-60,8880;-120,5720
-0,1720;-60,8880;-120,5720
-0,1720;-60,8880;-120,5720
-0,1720;-60,8701;-120,5720
-0,1720;-61,0600;-120,5720
-0,1720;-61,0600;-120,5720
-0,1720;-61,0600;-120,5570
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0600;-120,7440
-0,1720;-61,0779;-120,7440
-0,1720;-60,8880;-120,7440
-0,1720;-60,8880;-120,7440
-0,1720;-60,8880;-120,7440
-0,1720;-60,8880;-120,7440
-0,1720;-60,8880;-120,7440
-0,1930;-60,8880;-120,7440
0,0000;-60,8880;-120,7440
0,0000;-60,8880;-120,7440
0,0000;-60,8880;-120,7440
0,0000;-60,9059;-120,7440
0,0000;-60,7160;-120,7440
0,0000;-60,7160;-120,7440
0,0000;-60,7160;-120,7440
0,0000;-60,7160;-120,7440
0,0000;-60,7160;-120,7440
0,0000;-60,7160;-120,7440
0,0000;-60,7340;-120,7440
0,0000;-60,5440;-120,7440
0,0000;-60,5440;-120,7440
0,0000;-60,5440;-120,7440
0,0000;-60,5440;-120,7590
0,0000;-60,5440;-120,5720
0,0000;-60,5440;-120,5720
0,0000;-60,5440;-120,5720
0,0000;-60,5620;-120,5720
0,0000;-60,3720;-120,5720
0,0000;-60,3720;-120,5720
0,0000;-60,3720;-120,5720
0,0000;-60,3720;-120,5720
0,0000;-60,3720;-120,5720
0,0000;-60,3720;-120,5870
0,0000;-60,3720;-120,4000
0,0000;-60,3720;-120,4000
0,0000;-60,3720;-120,4000
0,0000;-60,3720;-120,4000
0,0000;-60,3720;-120,4000
0,0000;-60,3720;-120,4000
0,0000;-60,3720;-120,4000
0,0000;-60,3900;-120,4000
0,0000;-60,1820;-120,4150
0,0000;-60,3720;-120,2280
0,0000;-60,3720;-120,2280
0,0000;-60,3720;-120,2280
0,0000;-60,3720;-120,2280
0,0000;-60,3720;-120,2280
0,0000;-60,3720;-120,2280
0,0000;-60,3720;-120,2280
0,0210;-60,3720;-120,2280
-0,1720;-60,3720;-120,2280
-0,1720;-60,3720;-120,2280
-0,1720;-60,3720;-120,2280
-0,1720;-60,3720;-120,2280
-0,1720;-60,3720;-120,2280
-0,1720;-60,3720;-120,2280
-0,1720;-60,3720;-120,2430
-0,1720;-60,3540;-120,0560
-0,1720;-60,5440;-120,0560
-0,1720;-60,5440;-120,0560
-0,1720;-60,5440;-120,0560
-0,1720;-60,5440;-120,0410
-0,1720;-60,5440;-120,2430
-0,1720;-60,5440;-120,0410
-0,1720;-60,5440;-120,2280
-0,1720;-60,5260;-120,2280
-0,1720;-60,7160;-120,2280
-0,1720;-60,7160;-120,2280
-0,1930;-60,7160;-120,2280
0,0210;-60,7160;-120,2280
-0,1720;-60,7160;-120,2280
;-60,7160;-120,2280
;-60,6980;-120,2280
;-60,8880;-120,2280
;-60,8880;-120,2280
;-60,8880;-120,2280
;-60,8880;-120,2280
;;-120,2280
;;-120,2280
;;-120,2280
;;-120,2280
;;-120,2130
;;-120,4000
;;-120,4000
;;-120,4000
;;-120,4000
;;-120,4000
;;-120,4000
;;-120,4000
;;-120,4000
;;-120,4000
;;-120,3850
;;-120,5720
;;-120,5720
;;-120,5720
;;-120,5720
;;-120,5720
;;-120,5720
;;-120,5720
;;-120,5720
;;-120,5720
;;-120,5720
;;-120,5720
;;-120,5570
;;-120,7440
;;-120,7440
;;-120,7440
;;-120,7440
;;-120,7440
